scene_id,OID,lng,lat,date,image_path,filename,image_url
S0048,34432,106.511156,29.471864,202210,images/34432_106.511156_29.471864_202210.jpg,34432_106.511156_29.471864_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/34432_106.511156_29.471864_202210.jpg
S0049,24626,106.545401,29.560848,201906,images/24626_106.545401_29.560848_201906.jpg,24626_106.545401_29.560848_201906.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/24626_106.545401_29.560848_201906.jpg
S0050,28335,106.490177,29.528619,202210,images/28335_106.490177_29.528619_202210.jpg,28335_106.490177_29.528619_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/28335_106.490177_29.528619_202210.jpg
S0051,24951,106.537972,29.613824,201907,images/24951_106.537972_29.613824_201907.jpg,24951_106.537972_29.613824_201907.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/24951_106.537972_29.613824_201907.jpg
S0052,37259,106.545644,29.532801,202004,images/37259_106.545644_29.532801_202004.jpg,37259_106.545644_29.532801_202004.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/37259_106.545644_29.532801_202004.jpg
S0053,32186,106.50809,29.591117,202210,images/32186_106.50809_29.591117_202210.jpg,32186_106.50809_29.591117_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/32186_106.50809_29.591117_202210.jpg
S0054,9082,106.568925,29.531416,202107,images/9082_106.568925_29.531416_202107.jpg,9082_106.568925_29.531416_202107.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/9082_106.568925_29.531416_202107.jpg
S0055,50620,106.598201,29.582427,201710,images/50620_106.598201_29.582427_201710.jpg,50620_106.598201_29.582427_201710.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/50620_106.598201_29.582427_201710.jpg
S0056,56722,106.458985,29.578453,201710,images/56722_106.458985_29.578453_201710.jpg,56722_106.458985_29.578453_201710.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/56722_106.458985_29.578453_201710.jpg
S0057,11809,106.590027,29.583855,201603,images/11809_106.590027_29.583855_201603.jpg,11809_106.590027_29.583855_201603.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/11809_106.590027_29.583855_201603.jpg
S0058,32410,106.535756,29.584003,201907,images/32410_106.535756_29.584003_201907.jpg,32410_106.535756_29.584003_201907.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/32410_106.535756_29.584003_201907.jpg
S0059,18250,106.460758,29.479178,202210,images/18250_106.460758_29.479178_202210.jpg,18250_106.460758_29.479178_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/18250_106.460758_29.479178_202210.jpg
S0060,52640,106.500889,29.592274,202210,images/52640_106.500889_29.592274_202210.jpg,52640_106.500889_29.592274_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/52640_106.500889_29.592274_202210.jpg
S0061,27572,106.52186,29.587041,201610,images/27572_106.52186_29.587041_201610.jpg,27572_106.52186_29.587041_201610.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/27572_106.52186_29.587041_201610.jpg
S0062,15719,106.550845,29.541356,202004,images/15719_106.550845_29.541356_202004.jpg,15719_106.550845_29.541356_202004.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/15719_106.550845_29.541356_202004.jpg
S0063,18533,106.564811,29.5061,202210,images/18533_106.564811_29.5061_202210.jpg,18533_106.564811_29.5061_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/18533_106.564811_29.5061_202210.jpg
